district,county,state_school_id,nces_id,school_name,school_type,is_zoned_public,is_charter,is_magnet,is_private,grades_served,address,city,zip,latitude,longitude,source_url,notes
ORANGE,ORANGE,480381,,HUNTERS CREEK MIDDLE,Middle/Junior,YES,NO,,NO,,13400 Town Loop Blvd,Orlando,32837,28.367846791045,-81.4350568618324,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480401,,PINEWOOD ELEMENTARY,Elementary,YES,NO,,NO,,3005 N Apopka Vineland Rd,Orlando,32818,28.5836220101075,-81.4911337518767,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480421,,LOCKHART ELEMENTARY,Elementary,YES,NO,,NO,,3411 Doctor Love Rd,Orlando,32810,28.6231409028471,-81.4212281206601,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480431,,UNION PARK ELEMENTARY,Elementary,YES,NO,,NO,,1600 N Dean Rd,Orlando,32825,28.5668279252707,-81.2462271404005,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480461,,ZELLWOOD ELEMENTARY,Elementary,YES,NO,,NO,,3551 Washington Ave,Zellwood,32798,28.7353503490644,-81.6007590185801,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480472,,HAMLIN ELEMENTARY,Elementary,YES,NO,,NO,,16025 Silver Grove Blvd,Winter Garden,34787,28.4652640246292,-81.6447108080868,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480482,,WATER SPRING MIDDLE SCHOOL,Middle/Junior,YES,NO,,NO,, , , ,28.4018927208762,-81.6508455772402,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480510,,VISTA POINTE ELEMENTARY,Elementary,YES,NO,,NO,,6900 Market Place Dr,Orlando,32822,28.4711745366036,-81.2867623004448,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480511,,DILLARD STREET ELEMENTARY,Elementary,YES,NO,,NO,,311 N Dillard St,Winter Garden,34787,28.5706973478068,-81.5814366833001,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480520,,SUMMERLAKE ELEMENTARY,Elementary,YES,NO,,NO,,15450 Porter Rd,Winter Garden,34787,28.4515231942143,-81.6184448625378,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480521,,LAKE SILVER ELEMENTARY,Elementary,YES,NO,,NO,,2401 N Rio Grande Ave,Orlando,32804,28.5737833755534,-81.400772858545,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480531,,BALDWIN PARK ELEMENTARY,Elementary,YES,NO,,NO,,1750 Common Way Rd,Orlando,32814,28.5665201569876,-81.3326495103064,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480541,,DREAM LAKE ELEMENTARY,Elementary,YES,NO,,NO,,500 N Park Ave,Apopka,32712,28.6894256928814,-81.5104325341283,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480551,,CONWAY ELEMENTARY,Elementary,YES,NO,,NO,,4600 Anderson Rd,Orlando,32812,28.5005420980302,-81.3280312708903,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480561,,LAKEMONT ELEMENTARY,Elementary,YES,NO,,NO,,901 N Lakemont Ave,Winter Park,32792,28.6065847399325,-81.329735213412,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
