PINST,PADDRS,PCITY,PSTABB,PZIP,PCNTY,LATITUDE22,LONGITUDE22,LEVEL,RELIG,PPHONE,district
LONGWOOD CHRISTIAN ACADEMY,891 E STATE ROAD 434,LONGWOOD,FL,32750,117,28.698400,-81.330911,1,2,4077678823,SEMINOLE
PRIMROSE SCHOOL OF LAKE MARY HEATHROW,1200 ORANGE BLVD,SANFORD,FL,32771,117,28.800603,-81.363570,1,3,4073217979,SEMINOLE
ST ANTHONY CATHOLIC SCHOOL,924 MARCUM RD,LAKELAND,FL,33809,105,28.127710,-81.970501,1,1,8638580671,POLK
SOCRATES PREPARATORY SCHOOL,3955 RED BUG LAKE RD,CASSELBERRY,FL,32707,117,28.646360,-81.281881,3,3,3214220825,SEMINOLE
TREASURES OF LIFE ACADEMY,1202 HAVENDALE BLVD NW,WINTER HAVEN,FL,33881,105,28.043730,-81.739481,3,2,8632992100,POLK
ABELS ACADEMY,350 ACCEPTANCE WAY,CLERMONT,FL,34711,069,28.567012,-81.740700,1,3,3522231999,LAKE
ALL HOPE CHRISTIAN ACADEMY,200 HAVENDALE BLVD,AUBURNDALE,FL,33823,105,28.057113,-81.781632,3,2,8632297821,POLK
ALL SAINTS ACADEMY,5001 STATE ROAD 540 W,WINTER HAVEN,FL,33880,105,28.012350,-81.798881,3,2,8632935980,POLK
ARTS THEREAFTER CHRISTIAN SCHOOL,2745 CANOE CREEK RD,ST CLOUD,FL,34772,097,28.219170,-81.289851,3,2,4075936608,OSCEOLA
BETTER LIFE ACADEMY,1650 W MAIN ST 1,LEESBURG,FL,34748,069,28.811515,-81.891541,3,3,3523143760,LAKE
CASA MONTESSORI SCHOOL,309 ORANGE ST,LADY LAKE,FL,32159,069,28.904170,-81.913941,1,3,3527754555,LAKE
ST CLOUD CHRISTIAN PREP,1717 13TH ST,ST CLOUD,FL,34769,097,28.245653,-81.288618,3,2,4075770738,OSCEOLA
ESTHER'S SCHOOL KISSIMMEE,522 SIMPSON RD,KISSIMMEE,FL,34744,097,28.277070,-81.363771,3,2,4078732235,OSCEOLA
FOREIGN LANGUAGE IMMERSION SCHOOL,1550 CELEBRATION BLVD,CELEBRATION,FL,34747,097,28.308766,-81.564658,1,3,3219394177,OSCEOLA
FUTURE SCHOLARS CHRISTIAN ACADEMY,222 E CENTRAL AVE,WINTERHAVEN,FL,33880,105,28.021907,-81.724150,3,2,8632918002,POLK
HOPE PREPARATORY ACADEMY,13806 STATE ROAD 33,GROVELAND,FL,34736,069,28.548350,-81.849381,3,2,3524294722,LAKE
"LAKELAND INSTITUTE FOR LEARNING, ORG., CORP",2020 CRYSTAL GROVE DR,LAKELAND,FL,33801,105,28.018422,-81.914117,3,3,8632251263,POLK
OVELL'S CHRISITIAN ACADEMY,105 AVE G SE,WINTER HAVEN,FL,33880,105,28.015100,-81.726411,1,2,8632944647,POLK
PATHWAYS SCHOOL OF EXCELLENCE,1000 LONGFELLOW BLVD,LAKELAND,FL,33801,105,28.031950,-81.918851,3,2,8636675423,POLK
POINCIANA CHRISTIAN PREPARATORY SCHOOL,2525 TRAFALGAR BLVD,KISSIMMEE,FL,34758,097,28.226339,-81.484399,3,2,4077492078,OSCEOLA
SPARROW ACADEMY,8595 US HIGHWAY 98 N,LAKELAND,FL,33809,105,28.155590,-81.971508,3,2,8637772269,POLK
SUNSHINE STATE ELITE ACADEMY LLC,2355 N ORANGE BLOSSOM TRL,KISSIMMEE,FL,34744,097,28.313800,-81.403001,3,3,4078708552,OSCEOLA
THE LYMAN SCHOOL,1870 STATE ROAD 436,WINTER PARK,FL,32792,117,28.616201,-81.310197,3,3,4078987099,SEMINOLE
THE VINE CHRISTIAN ACADEMY,2540 MICHIGAN AVE STE CBE,KISSIMMEE,FL,34744,097,28.321138,-81.392692,3,2,4077911588,OSCEOLA
INSPIRE LEARNING ACADEMY,330 HARBOUR ISLE WAY STE 1040,LONGWOOD,FL,32750,117,28.698820,-81.366571,3,3,3219722590,SEMINOLE
ASTATULA CHRISTIAN SCHOOL,13239 FLORIDA AVE,ASTATULA,FL,34705,069,28.710420,-81.736831,3,2,3527422258,LAKE
BILINGUAL CHRISTIAN ACADEMY & TECHNOLOGY,2845 MOONSTONE BND,KISSIMMEE,FL,34758,097,28.264510,-81.435352,3,2,4075304227,OSCEOLA
CADEST,1156 E VINE ST,KISSIMMEE,FL,34744,097,28.303720,-81.393601,2,3,4014834100,OSCEOLA
CENTRAL FLORIDA ACADEMY,1626 W AIRPORT BLVD,SANFORD,FL,32771,117,28.785032,-81.296114,3,3,3213630063,SEMINOLE
CENTRAL POINTE CHRISTIAN HIGH SCHOOL,1990 NEPTUNE RD,KISSIMMEE,FL,34744,097,28.277070,-81.363771,2,2,4074332276,OSCEOLA
CPCA LEARNING CENTER,2480 SMITH ST,KISSIMMEE,FL,34744,097,28.318560,-81.400581,3,2,4074494088,OSCEOLA
ESTHERS SCHOOL INC - HAINES CITY,1950 MARLEY DR,HAINES CITY,FL,33844,105,28.085540,-81.608871,3,2,8635880700,POLK
GCTE CENTER INC,820 SPRING LAKE PLZ,WINTER HAVEN,FL,33881,105,28.122980,-81.637861,3,2,8638752785,POLK
HADLEYS EARLY EDUCATION DBA INSPIRE ACADEM,1020 N KENTUCKY AVE,LAKELAND,FL,33805,105,28.055799,-81.955638,1,3,8636880952,POLK
HARVEST ACADEMY LLC,3130 FILLY LN,LAKELAND,FL,33811,105,27.905490,-81.974336,3,2,8639434831,POLK
HUNTINGTON LEARNING CENTER - SHAHWAN INVEST,3150 CITRUS TOWER BLVD STE B,CLERMONT,FL,34711,069,28.523330,-81.728841,3,3,2062453808,LAKE
IGNYTE PERFORMING ARTS LEARNING CENTER,1038 AERONAUTICAL DR,KISSIMMEE,FL,34744,097,28.281390,-81.350261,3,2,4077770997,OSCEOLA
KIDSVILLE ACADEMY 2,2563 REMINGTON BLVD,KISSIMMEE,FL,34744,097,28.285331,-81.336965,3,2,4077451146,OSCEOLA
KISSIMMEE CHRISTIAN ACADEMY,415 N MAIN ST,KISSIMMEE,FL,34744,097,28.297060,-81.402991,1,2,4074494182,OSCEOLA
MILESTONES COMMUNITY SCHOOL OF LAKE COUNTY,10401 US HIGHWAY 441 STE 136,LEESBURG,FL,34788,069,28.823230,-81.785151,3,3,3523146588,LAKE
OUR CAREER CENTERED ACADEMY INC.,PO BOX 1236,LAKE ALFRED,FL,33850,105,28.091540,-81.722711,3,3,8638000755,POLK
PIECE OF HEAVEN CHRISTIAN ACADEMY INC,301 CHURCH STREET,KISSIMMEE,FL,34741,097,28.323880,-81.338471,3,2,4074861196,OSCEOLA
THE KEY TO LEARNING,10726 LIBBY NUMBER 3 RD,CLERMONT,FL,34715,069,28.582540,-81.750981,3,2,3524321422,LAKE
VALOR CHRISTIAN LEADERSHIP ACADEMY,"1102 CYPRESS GARDENS BLVD, STE G",WINTER HAVEN,FL,33884,105,28.003687,-81.709794,3,2,8632297893,POLK
HUSKY PREP ACADEMY INC,204 JOCELYN DR,DAVENPORT,FL,33897,105,28.322680,-81.675481,3,3,8638662017,POLK
ABA HAINES CITY INC,116 N 22ND ST,HAINES CITY,FL,33844,105,28.109286,-81.613400,3,2,8633538661,POLK
ACADEMY PREP CENTER OF LAKELAND,1021 LAKELAND HILLS BLVD,LAKELAND,FL,33805,105,28.056312,-81.953568,1,3,8639408900,POLK
ABELS ACADEMY,350 ACCEPTANCE WAY,CLERMONT,FL,34711,069,28.510200,-81.733964,3,3,3522231999,LAKE
