NCESSCH,NAME,district,STREET,CITY,STATE,ZIP,LAT,LON,CNTY,NMCNTY,LOCALE
120147001472,ST. CLOUD ELEMENTARY SCHOOL,OSCEOLA,2701 BUDINGER AVE,ST CLOUD,FL,34769,28.23331,-81.300388,12097,Osceola County,21
120147001473,ST. CLOUD HIGH SCHOOL,OSCEOLA,2000 BULLDOG LANE,ST CLOUD,FL,34769,28.239717,-81.279378,12097,Osceola County,21
120147001474,MICHIGAN AVENUE ELEMENTARY SCHOOL,OSCEOLA,2015 S MICHIGAN AVE,SAINT CLOUD,FL,34769,28.237258,-81.275271,12097,Osceola County,21
120147001475,ST. CLOUD MIDDLE SCHOOL,OSCEOLA,1975 S MICHIGAN AVE,ST CLOUD,FL,34769,28.23791,-81.275281,12097,Osceola County,21
120147002231,REEDY CREEK ELEMENTARY SCHOOL,OSCEOLA,5100 EAGLES TRL,KISSIMMEE,FL,34758,28.228235,-81.48905,12097,Osceola County,21
120147002357,BOGGY CREEK ELEMENTARY SCHOOL,OSCEOLA,810 FLORIDA PKWY,KISSIMMEE,FL,34743,28.327625,-81.361984,12097,Osceola County,21
120147002448,HICKORY TREE ELEMENTARY SCHOOL,OSCEOLA,2355 OLD HICKORY TREE RD,SAINT CLOUD,FL,34772,28.233023,-81.255003,12097,Osceola County,21
120147002476,GATEWAY HIGH SCHOOL,OSCEOLA,93 PANTHER PAWS TRL,KISSIMMEE,FL,34744,28.295111,-81.359642,12097,Osceola County,21
120147002575,MILL CREEK ELEMENTARY SCHOOL,OSCEOLA,1700 MILL SLOUGH RD,KISSIMMEE,FL,34744,28.313846,-81.376395,12097,Osceola County,13
120147002576,LAKEVIEW ELEMENTARY SCHOOL,OSCEOLA,2900 5TH ST,SAINT CLOUD,FL,34769,28.254419,-81.302042,12097,Osceola County,21
120147002622,PLEASANT HILL ELEMENTARY SCHOOL,OSCEOLA,1801 JACK CALHOUN DR,KISSIMMEE,FL,34741,28.272729,-81.432885,12097,Osceola County,21
120147002623,PARKWAY MIDDLE SCHOOL,OSCEOLA,857 FLORIDA PKWY,KISSIMMEE,FL,34743,28.327879,-81.368364,12097,Osceola County,21
120147002672,NEPTUNE MIDDLE SCHOOL,OSCEOLA,2727 NEPTUNE RD,KISSIMMEE,FL,34744,28.258897,-81.334005,12097,Osceola County,21
120147002675,VENTURA ELEMENTARY SCHOOL,OSCEOLA,275 WATERS EDGE DR,KISSIMMEE,FL,34743,28.334232,-81.343686,12097,Osceola County,21
120147002865,DEERWOOD ELEMENTARY SCHOOL,OSCEOLA,3701 MARIGOLD AVE,KISSIMMEE,FL,34758,28.181641,-81.486487,12097,Osceola County,23
120147002866,POINCIANA HIGH SCHOOL,OSCEOLA,2300 S POINCIANA BLVD,KISSIMMEE,FL,34758,28.234709,-81.4902,12097,Osceola County,41
120147003008,HORIZON MIDDLE SCHOOL,OSCEOLA,2020 HAM BROWN RD,KISSIMMEE,FL,34746,28.243612,-81.463992,12097,Osceola County,21
120147003097,KISSIMMEE MIDDLE SCHOOL,OSCEOLA,2410 DYER BLVD,KISSIMMEE,FL,34741,28.316635,-81.43773,12097,Osceola County,13
120147003098,CELEBRATION K-8,OSCEOLA,510 CAMPUS ST,CELEBRATION,FL,34747,28.319706,-81.544783,12097,Osceola County,21
120147003222,NEW BEGINNINGS EDUCATION CENTER,OSCEOLA,2599 WEST VINE ST,KISSIMMEE,FL,34741,28.306996,-81.428893,12097,Osceola County,13
120147003467,NEW DIMENSIONS HIGH SCHOOL,OSCEOLA,4900 OLD PLEASNT HILL RD,KISSIMMEE,FL,34759,28.140087,-81.447912,12097,Osceola County,23
120147003632,NARCOOSSEE MIDDLE SCHOOL,OSCEOLA,2700 N NARCOOSSEE RD,SAINT CLOUD,FL,34771,28.327651,-81.23566,12097,Osceola County,21
120147003633,DISCOVERY INTERMEDIATE SCHOOL,OSCEOLA,5350 SAN MIGUEL RD,KISSIMMEE,FL,34758,28.169814,-81.498426,12097,Osceola County,23
120147003634,PROFESSIONAL & TECHNICAL HIGH SCHOOL,OSCEOLA,501 SIMPSON RD,KISSIMMEE,FL,34744,28.298625,-81.349596,12097,Osceola County,21
120147003749,CENTRAL AVENUE ELEMENTARY SCHOOL,OSCEOLA,500 W COLUMBIA AVE,KISSIMMEE,FL,34741,28.306876,-81.409037,12097,Osceola County,13
120147003750,P. M. WELLS CHARTER ACADEMY,OSCEOLA,2426 REMINGTON BLVD,KISSIMMEE,FL,34744,28.280398,-81.331607,12097,Osceola County,21
