state_school_id,school_name,nces_id,district,county,school_type,latitude,longitude,geocode_address
490111,ST. CLOUD ELEMENTARY SCHOOL,120147001472,OSCEOLA,OSCEOLA,Elementary,28.23331,-81.300388,"2701 BUDINGER AVE, ST CLOUD, FL 34769"
490131,BRIDGEPREP ACADEMY OF ST.CLOUD,120147009034,OSCEOLA,OSCEOLA,Combination,28.230873,-81.316768,"9875 SW 72 STREET, MIAMI, FL 33173"
490149,RENAISSANCE CHARTER SCHOOL AT POINCIANA,120147008123,OSCEOLA,OSCEOLA,Combination,28.25253,-81.48968,"5125 ROBERT MCLANE BLVD, KISSIMMEE, FL 34758"
490152,FOUR CORNERS UPPER SCHOOL,120147008141,OSCEOLA,OSCEOLA,Combination,28.272904,-81.65296,"9160 BELLA CITTA BLVD, DAVENPORT, FL 33896"
490153,FLORIDA CYBER CHARTER ACADEMY AT OSCEOLA,120147008626,OSCEOLA,OSCEOLA,Combination,28.1578,-81.475994,"4851 KOA ST, KISSIMMEE, FL 34758"
490155,VICTORY CHARTER SCHOOL,120147008236,OSCEOLA,OSCEOLA,Combination,28.332981,-81.404428,"2880 N ORANGE BLOSSOM TRL, KISSIMMEE, FL 34744"
490163,MATER BRIGHTON LAKES,120147008352,OSCEOLA,OSCEOLA,Combination,28.200832,-81.441511,"3200 PLEASANT HILL RD, KISSIMMEE, FL 34746"
490171,RENAISSANCE CHARTER SCHOOL AT TAPESTRY,120147008498,OSCEOLA,OSCEOLA,Combination,28.32335,-81.427863,"2510 W CARROLL ST, KISSIMMEE, FL 34741"
490181,OSCEOLA SCIENCE CHARTER SCHOOL,120147008561,OSCEOLA,OSCEOLA,Combination,28.33134,-81.415446,"2849 N JOHN YOUNG PKWY, KISSIMMEE, FL 34741"
490182,LINCOLN-MARTI CHARTER SCHOOLS(OSCEOLA CAMPUS),120147008554,OSCEOLA,OSCEOLA,Elementary,28.30359,-81.352621,"2700 SW 8TH ST, MIAMI, FL 33135"
490183,SPORTS LEADERSHIP ARTS MANAGEMENT (SLAM),120147008627,OSCEOLA,OSCEOLA,Middle/Junior,28.297929,-81.363116,"611 LINE DR, KISSIMMEE, FL 34744"
490184,BRIDGEPREP ACADEMY OSCEOLA COUNTY,120147008626,OSCEOLA,OSCEOLA,Combination,28.1578,-81.475994,"4851 KOA ST, KISSIMMEE, FL 34758"
490185,MATER PALMS ACADEMY,120147008617,OSCEOLA,OSCEOLA,Combination,28.286667,-81.471362,"7901 NW 103RD ST, HIALEAH GARDENS, FL 33016"
490191,RENAISSANCE ACADEMY OF ARTS AND SCIENCES,120147008618,OSCEOLA,OSCEOLA,Combination,28.346058,-81.262212,"4480 BOGGY CREEK RD, KISSIMMEE, FL 34744"
490192,CREATIVE INSPIRATION JOURNEY SCHOOL OF ST CLOUD,120147008660,OSCEOLA,OSCEOLA,Combination,28.244519,-81.257153,"2030 OLD HICKORY TREE RD, SAINT CLOUD, FL 34772"
490201,ST. CLOUD HIGH SCHOOL,120147001473,OSCEOLA,OSCEOLA,Senior High,28.239717,-81.279378,"2000 BULLDOG LANE, ST CLOUD, FL 34769"
490202,MATER ACADEMY AT ST CLOUD,120147008659,OSCEOLA,OSCEOLA,Combination,28.249114,-81.230797,"6340 SUNSET DR, MIAMI, FL 33143"
490203,VICTORY CHARTER SCHOOL K-5,120147008886,OSCEOLA,OSCEOLA,Elementary,28.332981,-81.404428,"2880 N. ORANGE BLOSSOM TRAIL, KISSIMMEE, FL 34741"
490251,KISSIMMEE MIDDLE SCHOOL,120147003097,OSCEOLA,OSCEOLA,Middle/Junior,28.316635,-81.43773,"2410 DYER BLVD, KISSIMMEE, FL 34741"
490252,HARMONY MIDDLE SCHOOL,120147008646,OSCEOLA,OSCEOLA,Middle/Junior,28.18338,-81.153969,"3725 ARTHUR J GALLAGHER BLVD, ST. CLOUD, FL 34771"
490271,MICHIGAN AVENUE ELEMENTARY SCHOOL,120147001474,OSCEOLA,OSCEOLA,Elementary,28.237258,-81.275271,"2015 S MICHIGAN AVE, SAINT CLOUD, FL 34769"
